motion,shape,color,name_0,seen_1,name_1,seen_2,name_2,seen_3,name_3,seen_4,name_4,seen_5,name_5,seen_6,name_6,seen_7,name_7,seen_8,name_8,seen_9,name_9,seen_10,name_10,version
bounce,circle,black,hopa,S,vulepami,U,vulepami,U,vulepami,U,nepa,S,nepa,S,nepa,U,nepa,S,nepa,U,nepa,U,nepa,chain1
bounce,circle,blue,manehowu,U,nemine,S,vulepami,S,nepa,S,vulepami,U,nepa,S,nepa,S,nepa,U,nepa,U,nepa,S,nepa,chain1
bounce,circle,red,wuneho,S,nemine,U,lepa,U,vulepami,S,maho,U,maho,U,nepa,S,nepa,S,nepa,S,nepa,U,nepa,chain1
bounce,square,black,pamamapo,S,vulepami,S,vulepami,S,vulepami,U,nemene,U,nepa,U,nepa,U,nepa,S,nepa,U,nepa,S,nepa,chain1
bounce,square,blue,lemipo,U,veneme,U,lepa,U,vulepami,U,nepa,S,nepa,S,nepa,S,nepa,S,nepa,U,nepa,U,nepa,chain1
bounce,square,red,howu,U,nemine,S,nemene,U,maho,S,maho,S,maho,U,nepa,S,nepa,U,nepa,S,nepa,U,nepa,chain1
bounce,triangle,black,nehowu,U,pamapapo,U,vulepami,S,nemene,U,nemene,U,nepa,U,nepa,S,nepa,S,nepa,S,nepa,S,nepa,chain1
bounce,triangle,blue,nemi,U,mahole,U,nemi,S,vulepami,S,nepa,S,nepa,U,nepa,S,nepa,S,nepa,U,nepa,U,nepa,chain1
bounce,triangle,red,wunene,U,pali,U,nepa,S,vulepami,U,maho,U,nepa,S,nepa,U,nepa,U,nepa,S,nepa,S,nepa,chain1
horizontal,circle,black,lipapo,U,nepa,S,nepa,S,nepa,S,maho,U,nepa,S,nepa,U,nepa,U,nepa,S,nepa,U,nepa,chain1
horizontal,circle,blue,poliho,S,vemine,U,nemene,S,nepa,U,nepa,U,nepa,U,nepa,U,nepa,U,nepa,U,nepa,S,nepa,chain1
horizontal,circle,red,maho,S,maho,S,maho,S,maho,U,maho,S,maho,S,maho,U,nepa,S,nepa,S,nepa,U,nepa,chain1
horizontal,square,black,nehomami,U,pamapapo,S,pamapapo,U,maho,S,nepa,S,nepa,U,nepa,S,nepa,U,nepa,U,nepa,U,nepa,chain1
horizontal,square,blue,powuma,S,lemi,U,maho,S,maho,S,nepa,U,nepa,U,nepa,U,nepa,S,nepa,S,nepa,U,nepa,chain1
horizontal,square,red,wumaleli,S,maho,S,maho,S,maho,U,maho,U,nepa,S,nepa,S,nepa,S,nepa,U,nepa,S,nepa,chain1
horizontal,triangle,black,lilema,U,pamapapo,S,pamapapo,S,nepa,S,nepa,S,nepa,U,nepa,S,nepa,U,nepa,U,nepa,S,nepa,chain1
horizontal,triangle,blue,lemaho,U,nemi,U,nepa,U,maho,S,nepa,U,nepa,S,nepa,U,nepa,U,nepa,U,nepa,S,nepa,chain1
horizontal,triangle,red,lemilipo,U,maho,U,nepa,S,nemene,S,maho,U,nepa,S,nepa,S,nepa,U,nepa,S,nepa,S,nepa,chain1
spiral,circle,black,lepali,S,mapo,S,vulepami,U,pamano,S,pamano,S,pamano,S,pamano,U,nepa,S,nepa,S,nepa,U,nepa,chain1
spiral,circle,blue,lemi,S,nemene,S,wulepami,U,nemene,S,nepa,S,nepa,S,nepa,S,nepa,U,nepa,S,nepa,S,nepa,chain1
spiral,circle,red,nemine,S,lepa,S,nemine,U,maho,S,maho,S,maho,S,maho,U,nepa,S,nepa,S,nepa,U,nepa,chain1
spiral,square,black,pohomali,U,wulepami,S,vulepami,U,maho,U,nepa,S,nepa,U,nepa,U,nemene,U,nemene,U,nepa,U,nepa,chain1
spiral,square,blue,maholi,S,waheme,U,nemene,S,pamano,U,nemene,S,nemene,S,nemene,S,nemene,U,nemene,S,nemene,S,nemene,chain1
spiral,square,red,wupa,U,nemi,S,maho,S,maho,S,maho,U,nepa,U,nepa,U,nemene,S,nemene,U,nepa,U,nepa,chain1
spiral,triangle,black,wulepami,S,wulepami,S,maho,U,nepi,U,nemene,S,nemene,U,nepa,S,nepa,S,nepa,U,nepa,S,nepa,chain1
spiral,triangle,blue,nepa,S,nemu,U,nepa,U,nepi,U,vulepami,U,nepa,S,nepa,S,nepa,S,nepa,S,nepa,S,nepa,chain1
spiral,triangle,red,mahomine,S,nemine,U,lepa,U,maho,U,maho,S,maho,U,nepa,U,nepa,U,nepa,S,nepa,S,nepa,chain1
bounce,circle,black,lema,S,lehe,S,lehe,S,lehe,U,lehe,U,ninalehe,U,ninalehe,U,ninalehe,S,ninalehe,S,ninalehe,U,ninalehe,chain2
bounce,circle,blue,manane,U,nawilehe,S,nawilehe,S,nawilehe,U,ninalehe,U,ninalehe,U,ninalehe,U,ninalehe,S,ninalehe,S,ninalehe,U,ninalehe,chain2
bounce,circle,red,lehe,S,lehemu,U,nawilehe,S,nawilehe,S,lehe,U,lehe,U,ninalehe,U,ninalehe,S,ninalehe,U,ninalehe,U,ninalehe,chain2
bounce,square,black,ninamahe,S,lehe,S,lehe,S,lehe,S,lehe,S,ninalehe,S,ninalehe,S,ninalehe,S,ninalehe,U,ninalehe,U,ninalehe,chain2
bounce,square,blue,nawipuko,U,lehe,S,nawilehe,U,nawilehe,U,ninalehe,S,ninalehe,S,ninalehe,S,ninalehe,U,ninalehe,S,ninalehe,U,ninalehe,chain2
bounce,square,red,puneniko,U,lehe,U,nawilehe,S,nawilehe,S,lehe,U,ninalehe,S,ninalehe,S,ninalehe,U,ninalehe,U,ninalehe,S,ninalehe,chain2
bounce,triangle,black,maheko,U,lehe,U,lehe,S,lehe,S,lehe,U,ninalehe,U,ninalehe,U,ninalehe,U,ninalehe,U,ninalehe,S,ninalehe,chain2
bounce,triangle,blue,hena,U,nawilehe,U,nawilehe,U,nawilehe,S,ninalehe,S,ninalehe,U,ninalehe,U,ninalehe,S,ninalehe,S,ninalehe,S,ninalehe,chain2
bounce,triangle,red,leheni,U,lehe,U,lehe,U,lehe,S,lehe,S,lehe,U,ninalehe,U,ninalehe,U,ninalehe,S,ninalehe,S,ninalehe,chain2
horizontal,circle,black,konema,U,nepomu,S,koneko,S,mopuno,U,nina,U,winako,U,lehe,U,nina,S,lehe,U,nina,S,nina,chain2
horizontal,circle,blue,nepunani,S,manehe,S,mopulau,S,mopulau,U,nina,S,lehe,S,lehe,S,lehe,S,lehe,U,nina,S,nina,chain2
horizontal,circle,red,punema,S,koneko,U,mopunau,S,mopulau,U,ninakau,S,mopulau,S,mopulau,S,mopulau,U,nina,U,nina,S,nina,chain2
horizontal,square,black,naniwi,U,koneko,S,koneko,U,mopulau,U,nina,U,nina,S,nina,S,nina,U,nina,S,nina,U,nina,chain2
horizontal,square,blue,lemahene,S,punawi,S,koneko,U,mopulau,U,nina,S,nina,U,lehe,U,lehe,U,lehe,S,lehe,U,nina,chain2
horizontal,square,red,koneko,S,koneko,U,nekolau,U,mopulau,S,mopulau,S,lehe,S,lehe,S,lehe,S,nina,S,nina,U,nina,chain2
horizontal,triangle,black,puleni,U,nepomu,S,ninakoneko,U,nina,S,nina,U,lehe,S,lehe,S,lehe,U,nina,S,nina,S,nina,chain2
horizontal,triangle,blue,helewina,U,ninapomau,S,ninapolau,U,mopulau,U,nina,U,nina,S,nina,S,nina,U,nina,U,nina,U,nina,chain2
horizontal,triangle,red,koma,U,konekowi,U,ninakolau,S,ninakau,S,ninakau,U,nina,S,nina,S,nina,S,lehe,U,nina,U,nina,chain2
spiral,circle,black,winako,S,winako,S,winako,S,winako,S,winako,S,winako,U,wina,U,winako,U,wina,S,wina,S,wina,chain2
spiral,circle,blue,nawi,S,nepomuni,U,winapu,U,wina,U,wina,S,wina,S,wina,S,wina,S,wina,U,wina,U,wina,chain2
spiral,circle,red,wina,S,winamako,U,wina,S,wina,U,wina,S,wina,U,wina,U,wina,S,wina,S,wina,S,wina,chain2
spiral,square,black,wile,U,makoko,U,mopunu,U,wina,S,wina,S,wina,U,wina,U,winako,U,wina,S,wina,S,wina,chain2
spiral,square,blue,punawi,S,nepumehe,S,mopuno,S,wina,U,wina,S,wina,S,wina,S,wina,S,wina,U,wina,S,wina,chain2
spiral,square,red,lekopule,U,makomu,S,mopune,U,wina,S,wina,U,wina,S,wina,S,wina,U,wina,U,wina,S,wina,chain2
spiral,triangle,black,makoko,S,winako,U,winako,U,wina,U,wina,U,winako,S,winako,S,winako,S,winako,S,winako,S,winako,chain2
spiral,triangle,blue,malehewi,S,nawikok,U,wina,S,wina,S,wina,S,wina,U,wina,U,wina,U,wina,U,wina,U,winako,chain2
spiral,triangle,red,makopu,S,wina,S,wina,U,wina,S,wina,U,wina,U,wina,U,wina,S,wina,S,wina,U,winako,chain2
bounce,circle,black,kinimapi,S,kimei,U,hepini,U,tuge,U,tupim,S,tupim,U,minku,U,miniku,S,miniku,S,miniku,U,miniku,chain3
bounce,circle,blue,wikuki,U,miwn,U,miniku,S,tupim,S,tupim,S,tupim,S,miniku,U,miniku,S,miniku,U,miniku,U,miniku,chain3
bounce,circle,red,kikumi,U,miheniw,S,hepini,U,tupim,S,tupim,S,tupim,S,miniku,S,miniku,U,miniku,S,miniku,S,miniku,chain3
bounce,square,black,miwiniku,S,pemini,S,nige,U,miniku,S,mihunu,S,mihunu,U,miniku,S,miniku,U,tupim,S,tupim,S,tupim,chain3
bounce,square,blue,pinipi,U,kupini,S,tuge,S,tuge,S,tupim,U,tupim,S,tupin,U,miniku,U,tupim,U,tupim,U,tupim,chain3
bounce,square,red,kihemiwi,S,pon,U,mihenu,S,mihunu,S,miniku,U,tupim,U,tupim,S,tupim,S,tupim,U,tupim,S,tupim,chain3
bounce,triangle,black,miwimi,S,poi,S,poi,S,poi,S,poi,U,miniku,S,miniku,S,miniku,U,tupin,U,tupin,U,tupin,chain3
bounce,triangle,blue,nipi,S,mhip,U,mpo,U,tuge,S,miniku,U,tupim,S,tupin,S,tupin,S,tupin,S,tupin,S,tupin,chain3
bounce,triangle,red,wige,S,kuwpi,S,tupim,U,miniku,S,miniku,S,miniku,S,tupin,U,miniku,U,tupin,S,tupin,U,tupin,chain3
horizontal,circle,black,nihepi,S,mip,S,nige,U,tuge,U,tuge,S,tuge,U,tuge,S,tuge,U,tuge,U,tuge,S,tuge,chain3
horizontal,circle,blue,wigemi,S,mpo,S,nige,U,tuge,U,tuge,U,tuge,U,tuge,U,tuge,S,tuge,S,tuge,U,tuge,chain3
horizontal,circle,red,mahekuki,U,miniku,S,tuge,S,tuge,U,tuge,U,tuge,S,tuge,S,tuge,S,tuge,S,tuge,S,tuge,chain3
horizontal,square,black,wimaku,S,nige,S,nige,U,mihenu,U,tuge,U,tuge,S,tuge,U,tuge,U,tuge,U,tuge,S,tuge,chain3
horizontal,square,blue,miniki,S,miniku,S,tuge,U,tuge,U,tuge,U,tuge,U,tuge,U,tuge,U,tuge,S,tuge,U,tuge,chain3
horizontal,square,red,gepinini,S,poh,U,tuge,S,tuge,U,tuge,S,tuge,S,tuge,U,tuge,S,tuge,U,tuge,S,tuge,chain3
horizontal,triangle,black,wikima,U,tuge,S,nige,S,nige,U,[null]*,U,tuge,S,tuge,S,tuge,S,tuge,U,tuge,U,tuge,chain3
horizontal,triangle,blue,nipikuge,U,tuge,S,tuge,S,tuge,S,tuge,U,tuge,U,tuge,S,tuge,S,tuge,U,tuge,S,tuge,chain3
horizontal,triangle,red,hema,U,weg,U,mpo,U,tuge,U,tuge,S,tuge,U,tuge,U,tuge,S,tuge,S,tuge,S,tuge,chain3
spiral,circle,black,pikuhemi,U,kuhepi,U,hepini,S,tupim,U,tupim,S,tupim,U,poi,S,poi,S,poi,S,poi,U,poi,chain3
spiral,circle,blue,kimaki,S,wige,U,tupim,U,tupim,S,tupim,S,tupim,S,poi,U,poi,S,poi,S,poi,S,poi,chain3
spiral,circle,red,pimikihe,U,mie,U,tupim,S,tupim,U,tupim,U,tupim,U,poi,U,poi,U,poi,S,poi,U,poi,chain3
spiral,square,black,gepihemi,U,hepinimi,S,hepini,S,mihenu,U,tupim,S,tupim,U,poi,S,poi,U,poi,U,poi,U,poi,chain3
spiral,square,blue,kunige,S,himini,U,miniku,U,tupim,S,tupim,U,tupim,U,tupin,U,poi,S,poi,U,poi,S,poi,chain3
spiral,square,red,miki,S,hipe,U,tupim,S,tupim,U,tupim,S,tupim,U,tupim,S,tupim,U,poi,S,poi,S,poi,chain3
spiral,triangle,black,mihe,U,pobo,U,nige,S,poi,S,poi,S,poi,S,poi,S,poi,S,poi,U,poi,U,poi,chain3
spiral,triangle,blue,winige,U,tupim,S,tupim,S,tupim,S,tupim,U,tupim,S,tupin,S,tupin,U,poi,S,poi,U,poi,chain3
spiral,triangle,red,kinimage,U,hipe,U,poi,U,tupim,S,tupim,S,tupim,S,tupim,U,poi,U,poi,U,poi,S,poi,chain3
bounce,circle,black,keni,U,wema,S,wepa,S,wepa,S,wema,U,wipe,U,wema,S,wema,U,wepa,S,wepa,U,wikepi,chain4
bounce,circle,blue,wumepihu,U,wape,S,wape,U,hukela,S,wema,S,wawakipi,S,wakepi,S,wema,U,wema,U,wepa,S,hidoku,chain4
bounce,circle,red,nihulu,S,nihulu,S,niveli,S,niveli,S,niveli,U,wepa,U,hudulu,U,wikepi,S,wikepi,U,wikepi,S,wikepi,chain4
bounce,square,black,pime,S,piwe,S,wepa,S,wepa,U,wipe,U,wuwu,U,wepa,S,wepa,S,wepa,U,wepa,U,wikepi,chain4
bounce,square,blue,memelu,U,hukile,S,nihulu,U,hekulu,S,heduku,S,hidulu,S,wakepi,U,wema,S,wepa,S,hidoku,U,hidoku,chain4
bounce,square,red,meluwa,S,nihulu,U,nihulu,U,niveli,U,wema,S,wawkipi,S,wema,U,wema,U,wikepi,S,wikepi,U,wikepi,chain4
bounce,triangle,black,wawapike,S,wawapike,S,wawapike,U,wipe,U,wema,S,wipe,S,wema,U,wema,U,wepa,S,wepa,S,wikepi,chain4
bounce,triangle,blue,wuhame,S,huwe,U,wipe,S,hekulu,S,hedulu,S,nihulu,S,wema,S,wikepi,U,wema,U,hidoku,S,hidoku,chain4
bounce,triangle,red,wani,S,pikewa,U,wawakipe,U,hekulu,U,wepa,S,wema,S,wema,S,wikepi,U,wikepi,S,wikepi,U,wikepi,chain4
horizontal,circle,black,wapiwu,U,pime,U,wipe,S,wipe,S,wipe,S,wepa,S,wipe,U,wepa,S,wepa,U,wipe,S,wipe,chain4
horizontal,circle,blue,mehuniha,U,niweli,S,wema,U,wema,S,wepa,U,nihulu,U,wepa,U,wepa,U,wipe,U,wepa,S,wipe,chain4
horizontal,circle,red,niluha,U,peluma,U,wepa,U,nirulu,U,wema,S,nihulu,S,wepa,S,wepa,U,wepa,U,wepa,U,wikepi,chain4
horizontal,square,black,kemepi,U,wume,U,nihulu,S,wipe,S,wipe,U,wipe,U,wipe,S,wipe,S,wipe,S,wipe,S,wepa,chain4
horizontal,square,blue,meni,U,pewa,S,hukela,S,nirulu,U,wema,U,wawakipi,U,wepa,U,wepa,S,wepa,U,wepa,S,wepa,chain4
horizontal,square,red,kepihuwu,S,wepamehu,S,hukela,S,nihulu,S,wepa,S,nihulu,S,wepa,S,wepa,S,wepa,S,wikepi,S,wepa,chain4
horizontal,triangle,black,piwu,S,pime,S,nihulu,U,wipe,S,wipe,S,jiduku,S,wipe,U,wepa,U,wepa,S,wipe,S,wipe,chain4
horizontal,triangle,blue,wuke,U,piwe,S,wema,U,wipe,U,wepa,S,wepa,S,wepa,S,wepa,U,wepa,U,wipe,U,wipe,chain4
horizontal,triangle,red,huhani,S,humepa,S,wawakipe,U,wepa,S,wema,U,nihulu,U,wepa,S,wepa,S,wepa,U,wipe,U,wikepi,chain4
spiral,circle,black,nimepa,S,piwe,S,wepa,S,wipe,U,wepa,U,wepa,U,hudulu,U,hidoku,S,hidoku,U,hidoku,U,hidoku,chain4
spiral,circle,blue,mepikelu,U,wuhili,U,huke;a,U,wepa,S,wepa,U,wepa,U,hidoku,S,hidoku,U,hidoku,U,hidoku,U,hidoku,chain4
spiral,circle,red,nimeni,U,lihuke,U,wipe,S,wipe,U,niveli,U,wepa,U,wakepi,S,wikepi,S,wikepi,U,hidoku,S,hidoku,chain4
spiral,square,black,lume,S,luwema,U,wepa,S,wepa,U,hedulu,U,hiduku,U,hudulu,U,hidoku,U,hidoku,S,hidoku,U,hidoku,chain4
spiral,square,blue,kewaha,U,hukela,S,wema,S,wakala,U,nihulu,U,wawakipe,U,hudulu,U,hidoku,S,hidoku,S,hidoku,S,hidoku,chain4
spiral,square,red,kewamewu,S,meka,U,hukela,S,hekulu,U,wawakipe,S,wawakipi,S,hudulu,U,hidoku,U,wikepi,S,wikepi,U,hidoku,chain4
spiral,triangle,black,luwaha,U,pehilu,U,wawakipe,U,wepa,S,wepa,U,hiduku,U,hidoku,S,hidoku,S,hidoku,S,hidoku,S,hidoku,chain4
spiral,triangle,blue,wapi,S,pikelu,U,wawakipe,S,wawakipe,S,nihulu,S,wpie,S,hidoku,S,hidoku,S,hidoku,S,hidoku,S,hidoku,chain4
spiral,triangle,red,humeni,S,nihuli,U,wema,U,wipe,U,wakepi,S,wipe,S,nihulu,U,wikepi,S,wikepi,S,wikepi,U,hidoku,chain4
